participant,task,subtask,trial,choice,reward,condition,trial_within_subtask,function
3,3,0,0,0,1.78749677,noncompositional,0.0,posodd
3,3,0,1,1,3.80192438,noncompositional,1.0,posodd
3,3,0,2,2,3.87140147,noncompositional,2.0,posodd
3,3,0,3,4,2.57548614,noncompositional,3.0,posodd
3,3,0,4,3,9.3959528,noncompositional,4.0,posodd
3,4,0,0,3,1.32885045,noncompositional,0.0,poseven
3,4,0,1,1,5.21228528,noncompositional,1.0,poseven
3,4,0,2,1,5.19173143,noncompositional,2.0,poseven
3,4,0,3,0,3.60601072,noncompositional,3.0,poseven
3,4,0,4,2,6.8612501,noncompositional,4.0,poseven
3,5,0,0,2,5.43219305,noncompositional,0.0,poseven
3,5,0,1,0,2.95430764,noncompositional,1.0,poseven
3,5,0,2,2,5.61662226,noncompositional,2.0,poseven
3,5,0,3,5,3.10056563,noncompositional,3.0,poseven
3,5,0,4,4,10.4389288,noncompositional,4.0,poseven
3,6,0,0,3,4.54249283,noncompositional,0.0,negodd
3,6,0,1,1,5.93965818,noncompositional,1.0,negodd
3,6,0,2,3,4.55101203,noncompositional,2.0,negodd
3,6,0,3,5,4.8490009,noncompositional,3.0,negodd
3,6,0,4,0,6.55116495,noncompositional,4.0,negodd
3,7,0,0,1,2.603539,noncompositional,0.0,posodd
3,7,0,1,4,1.92333588,noncompositional,1.0,posodd
3,7,0,2,3,4.14160878,noncompositional,2.0,posodd
3,7,0,3,5,4.19970175,noncompositional,3.0,posodd
3,7,0,4,2,3.4397276,noncompositional,4.0,posodd
3,8,0,0,0,5.21951237,noncompositional,0.0,negodd
3,8,0,1,1,4.99106713,noncompositional,1.0,negodd
3,8,0,2,4,0.02686354,noncompositional,2.0,negodd
3,8,0,3,3,3.91131051,noncompositional,3.0,negodd
3,8,0,4,5,4.07291633,noncompositional,4.0,negodd
3,9,0,0,0,9.09289139,noncompositional,0.0,negodd
3,9,0,1,0,9.03722204,noncompositional,1.0,negodd
3,9,0,2,0,9.08123149,noncompositional,2.0,negodd
3,9,0,3,0,8.87505136,noncompositional,3.0,negodd
3,9,0,4,0,9.13862701,noncompositional,4.0,negodd
3,10,0,0,0,5.80990474,noncompositional,0.0,posodd
3,10,0,1,1,6.09923064,noncompositional,1.0,posodd
3,10,0,2,3,7.1477055,noncompositional,2.0,posodd
3,10,0,3,3,7.26165087,noncompositional,3.0,posodd
3,10,0,4,3,7.34560071,noncompositional,4.0,posodd
