,participant,phase,trial,context,left_option,middle_option,right_option,choice,correct,reward,reward_unchosen_1,reward_unchosen_2,RT,ID,condition,?,task,tier
164,0.0,1.0,152.0,2.0,,4.0,3.0,2.0,1.0,82.0,9.0,,754.0,4011589439.0,1.0,2.0,0,0.0
165,0.0,1.0,153.0,4.0,,8.0,9.0,1.0,1.0,57.0,16.0,,1081.0,4011589439.0,1.0,2.0,0,0.0
166,0.0,1.0,154.0,3.0,6.0,7.0,5.0,2.0,1.0,52.0,34.0,17.0,1318.0,4011589439.0,1.0,2.0,0,0.0
167,0.0,1.0,155.0,1.0,2.0,1.0,0.0,2.0,1.0,85.0,45.0,15.0,2814.0,4011589439.0,1.0,2.0,0,0.0
168,0.0,1.0,156.0,3.0,5.0,6.0,7.0,0.0,1.0,56.0,25.0,18.0,929.0,4011589439.0,1.0,2.0,0,0.0
169,0.0,1.0,157.0,3.0,7.0,6.0,5.0,2.0,1.0,50.0,38.0,14.0,1085.0,4011589439.0,1.0,2.0,0,0.0
170,0.0,1.0,158.0,3.0,6.0,5.0,7.0,1.0,1.0,49.0,35.0,12.0,1198.0,4011589439.0,1.0,2.0,0,0.0
171,0.0,1.0,159.0,2.0,4.0,,3.0,2.0,1.0,89.0,18.0,,842.0,4011589439.0,1.0,2.0,0,0.0
172,0.0,1.0,160.0,3.0,5.0,6.0,7.0,0.0,1.0,50.0,32.0,17.0,845.0,4011589439.0,1.0,2.0,0,0.0
173,0.0,1.0,161.0,4.0,9.0,,8.0,2.0,1.0,47.0,10.0,,949.0,4011589439.0,1.0,2.0,0,0.0
174,0.0,1.0,162.0,1.0,1.0,2.0,0.0,2.0,1.0,91.0,54.0,14.0,2479.0,4011589439.0,1.0,2.0,0,0.0
175,0.0,1.0,163.0,3.0,5.0,6.0,7.0,0.0,1.0,54.0,25.0,9.0,855.0,4011589439.0,1.0,2.0,0,0.0
176,0.0,1.0,164.0,1.0,2.0,1.0,0.0,2.0,1.0,84.0,60.0,15.0,700.0,4011589439.0,1.0,2.0,0,0.0
177,0.0,1.0,165.0,1.0,1.0,2.0,0.0,2.0,1.0,88.0,47.0,10.0,4524.0,4011589439.0,1.0,2.0,0,0.0
178,0.0,1.0,166.0,3.0,6.0,5.0,7.0,1.0,1.0,52.0,34.0,14.0,1717.0,4011589439.0,1.0,2.0,0,0.0
179,0.0,1.0,167.0,4.0,,9.0,8.0,2.0,1.0,51.0,17.0,,2746.0,4011589439.0,1.0,2.0,0,0.0
180,0.0,1.0,168.0,2.0,,4.0,3.0,2.0,1.0,83.0,9.0,,1910.0,4011589439.0,1.0,2.0,0,0.0
181,0.0,1.0,169.0,4.0,8.0,,9.0,0.0,1.0,49.0,14.0,,923.0,4011589439.0,1.0,2.0,0,0.0
182,0.0,1.0,170.0,1.0,1.0,0.0,2.0,1.0,1.0,95.0,54.0,14.0,4335.0,4011589439.0,1.0,2.0,0,0.0
183,0.0,1.0,171.0,4.0,,9.0,8.0,2.0,1.0,51.0,9.0,,819.0,4011589439.0,1.0,2.0,0,0.0
184,0.0,1.0,172.0,1.0,2.0,1.0,0.0,2.0,1.0,85.0,51.0,12.0,917.0,4011589439.0,1.0,2.0,0,0.0
185,0.0,1.0,173.0,3.0,7.0,5.0,6.0,1.0,1.0,54.0,27.0,15.0,1167.0,4011589439.0,1.0,2.0,0,0.0
186,0.0,1.0,174.0,1.0,2.0,0.0,1.0,1.0,1.0,83.0,52.0,25.0,668.0,4011589439.0,1.0,2.0,0,0.0
